team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
Atlanta FaZe,Boston Breach,207,250, Embassy,10:02, Hardpoint,Cellium,15,12,1.25,46,Simp,28,18,1.56,109,SlasheR,26,18,1.44,116,aBeZy,23,19,1.21,27,Vivid,17,26,0.65,34,Methodz,21,25,0.84,68,Owakening,17,18,0.94,57,Nero,12,23,0.52,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta FaZe,Boston Breach,6,3, Fortress,7:31, Search and Destroy,Cellium,3,6,0.50,,Simp,7,9,0.78,,SlasheR,4,6,0.67,,aBeZy,4,7,0.56,,Vivid,6,4,1.50,,Methodz,3,5,0.60,,Owakening,10,4,2.50,,Nero,9,5,1.80,,0,1,0,0,3,2,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,1,0,0,1,0,0,1,2,2,2,0,,,,,,,,
Atlanta FaZe,Boston Breach,3,0, Fortress,9:02, Control,Cellium,18,15,1.20,,Simp,13,24,0.54,,SlasheR,11,16,0.69,,aBeZy,17,20,0.85,,Vivid,23,20,1.14,,Methodz,21,12,1.75,,Owakening,14,11,1.27,,Nero,17,16,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,3,4,6,2
Atlanta FaZe,Boston Breach,250,203, Hydro,10:57, Hardpoint,Cellium,20,21,0.95,30,Simp,22,20,1.10,37,SlasheR,23,22,1.05,45,aBeZy,23,23,1.00,106,Vivid,25,25,1.00,15,Methodz,19,20,0.95,96,Owakening,27,19,1.42,102,Nero,15,24,0.63,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic Texas,Minnesota RØKKR,203,250, Hydro,10:41, Hardpoint,Dashy,15,20,0.75,39,Scump,27,17,1.59,155,Shotzzy,21,21,1.00,36,iLLeY,19,20,0.95,45,Attach,15,24,0.63,50,Afro,23,18,1.28,42,Bance,23,21,1.10,68,Cammy,17,19,0.89,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic Texas,Minnesota RØKKR,6,0, Embassy,7:03, Search and Destroy,Dashy,2,5,0.40,,Scump,2,5,0.40,,Shotzzy,2,6,0.33,,iLLeY,5,6,0.83,,Attach,5,3,1.67,,Afro,7,4,1.75,,Bance,6,2,3.00,,Cammy,4,2,2.00,,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,0,1,0,,,,,,,,
OpTic Texas,Minnesota RØKKR,2,3, El Asilo,15:59, Control,Dashy,17,20,0.85,,Scump,28,20,1.40,,Shotzzy,29,32,0.91,,iLLeY,22,26,0.85,,Attach,24,21,1.13,,Afro,26,23,1.12,,Bance,24,26,0.92,,Cammy,24,26,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,6,6,2,3,4,5
Las Vegas Legion,Los Angeles Thieves,250,204, Hotel,9:57, Hardpoint,Temp,21,21,1.00,39,Clayster,23,20,1.14,38,TJHaly,14,22,0.64,50,Prolute,21,18,1.17,130,Envoy,21,23,0.91,38,Kenny,22,21,1.05,36,Drazah,20,21,0.95,83,Octane,18,14,1.29,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Legion,Los Angeles Thieves,2,6, Fortress,8:10, Search and Destroy,Temp,7,4,1.75,,Clayster,7,5,1.40,,TJHaly,8,3,2.67,,Prolute,3,3,1.00,,Envoy,4,6,0.67,,Kenny,2,7,0.28,,Drazah,5,6,0.83,,Octane,4,6,0.67,,1,1,0,0,1,1,0,0,2,0,0,0,0,2,1,3,0,2,1,0,2,2,1,0,1,0,0,0,1,0,1,0,,,,,,,,
Las Vegas Legion,Los Angeles Thieves,3,0, Hotel,7:52, Control,Temp,12,16,0.75,,Clayster,11,21,0.52,,TJHaly,12,14,0.86,,Prolute,12,16,0.75,,Envoy,18,12,1.50,,Kenny,21,10,2.10,,Drazah,16,15,1.07,,Octane,12,10,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,5,1,5,5,4
Las Vegas Legion,Los Angeles Thieves,250,198, Mercado,10:14, Hardpoint,Temp,21,21,1.00,80,Clayster,19,23,0.83,20,TJHaly,24,24,1.00,50,Prolute,19,19,1.00,65,Envoy,19,23,0.83,34,Kenny,23,22,1.05,72,Drazah,30,18,1.67,63,Octane,15,20,0.75,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,Los Angeles Guerrillas,126,250, Fortress,8:06, Hardpoint,Sib,24,10,2.40,81,Accuracy,21,15,1.40,58,Mack,13,15,0.87,112,Pred,22,17,1.29,6,Arcitys,15,21,0.71,28,Huke,12,20,0.60,70,Neptune,15,19,0.79,0,Spart,15,20,0.75,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,Los Angeles Guerrillas,6,5, Fortress,11:42, Search and Destroy,Sib,16,7,2.29,,Accuracy,4,8,0.50,,Mack,8,8,1.00,,Pred,6,9,0.67,,Arcitys,12,7,1.71,,Huke,6,10,0.60,,Neptune,8,9,0.89,,Spart,6,8,0.75,,1,0,0,0,1,1,1,0,2,2,3,0,0,4,0,0,2,1,0,0,1,1,0,0,3,1,3,0,1,1,1,1,,,,,,,,
Seattle Surge,Los Angeles Guerrillas,3,2, Hotel,14:02, Control,Sib,35,21,1.67,,Accuracy,16,25,0.64,,Mack,25,24,1.04,,Pred,26,25,1.04,,Arcitys,18,30,0.60,,Huke,33,25,1.32,,Neptune,24,27,0.89,,Spart,20,20,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,7,0,4,7,7,11
Seattle Surge,Los Angeles Guerrillas,91,250, Hotel,7:43, Hardpoint,Sib,30,12,2.50,92,Accuracy,14,15,0.93,106,Mack,13,15,0.87,29,Pred,22,11,2.00,43,Arcitys,16,17,0.94,57,Huke,16,20,0.80,27,Neptune,12,21,0.56,19,Spart,9,21,0.43,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,Los Angeles Guerrillas,6,2, Hotel,8:21, Search and Destroy,Sib,3,7,0.43,,Accuracy,8,6,1.33,,Mack,1,7,0.14,,Pred,5,7,0.71,,Arcitys,7,4,1.75,,Huke,8,5,1.60,,Neptune,8,3,2.67,,Spart,4,5,0.80,,1,2,1,0,1,1,0,0,0,2,0,0,0,1,0,0,3,1,0,1,3,1,0,0,0,0,2,0,0,0,0,0,,,,,,,,
Toronto Ultra,Minnesota RØKKR,167,250, Embassy,9:42, Hardpoint,Scrappy,31,21,1.48,43,Insight,13,18,0.72,37,CleanX,23,21,1.10,60,Standy,17,14,1.21,165,Attach,19,17,1.12,116,Afro,18,23,0.78,60,Bance,18,25,0.72,14,Cammy,19,19,1.00,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,Minnesota RØKKR,6,4, Hotel,12:23, Search and Destroy,Scrappy,11,8,1.38,,Insight,6,6,1.00,,CleanX,7,7,1.00,,Standy,6,9,0.67,,Attach,2,9,0.22,,Afro,11,5,2.20,,Bance,7,8,0.88,,Cammy,10,8,1.25,,2,2,1,0,0,1,0,1,1,2,0,0,0,2,1,0,0,1,0,0,2,0,0,2,2,2,1,0,3,0,1,0,,,,,,,,
