index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
0,PaulEhx,26,26,1.00,62,London Royal Ravens,229,loser,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
1,Nastie,28,25,1.12,47,London Royal Ravens,229,loser,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
2,Asim,22,24,0.92,82,London Royal Ravens,229,loser,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
3,Skrapz,25,25,1.00,68,London Royal Ravens,229,loser,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
4,Cellium,24,21,1.13,74,Atlanta FaZe,250,winner,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
5,Simp,24,29,0.83,68,Atlanta FaZe,250,winner,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
6,aBeZy,29,22,1.32,82,Atlanta FaZe,250,winner,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
7,SlasheR,23,29,0.79,110,Atlanta FaZe,250,winner,LRRAFW2M3, Hotel,Hardpoint,11:06,London Royal Ravens,,,,,
0,PaulEhx,7,7,1.00,,London Royal Ravens,5,loser,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,0,1,2,1,
1,Nastie,10,7,1.43,,London Royal Ravens,5,loser,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,5,0,0,0,
2,Asim,7,8,0.88,,London Royal Ravens,5,loser,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,2,2,0,0,
3,Skrapz,7,8,0.88,,London Royal Ravens,5,loser,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,1,0,0,0,
4,Cellium,8,8,1.00,,Atlanta FaZe,6,winner,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,2,1,0,0,
5,Simp,8,9,0.89,,Atlanta FaZe,6,winner,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,0,1,4,0,
6,aBeZy,9,7,1.29,,Atlanta FaZe,6,winner,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,1,4,0,0,
7,SlasheR,5,7,0.71,,Atlanta FaZe,6,winner,LRRAFW2M3, El Asilo,SearchandDestroy,13:15,London Royal Ravens,0,2,0,0,
0,PaulEhx,21,24,0.88,,London Royal Ravens,2,loser,LRRAFW2M3, Hotel,Control,14:14,London Royal Ravens,,,,,9
