team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
London Royal Ravens,Florida Mutineers,248,250, Hydro,11:32, Hardpoint,PaulEhx,17,23,0.74,69,Nastie,27,22,1.23,24,Asim,20,21,0.95,53,Skrapz,16,16,1.00,127,Vikul,17,23,0.74,92,Havok,26,14,1.86,109,MajorManiak,22,17,1.29,9,Davpadie,17,26,0.65,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Royal Ravens,Florida Mutineers,6,4, Fortress,11:27, Search and Destroy,PaulEhx,5,8,0.63,,Nastie,8,5,1.60,,Asim,7,7,1.00,,Skrapz,5,8,0.63,,Vikul,4,7,0.56,,Havok,7,7,1.00,,MajorManiak,9,7,1.29,,Davpadie,8,4,2.00,,1,2,1,0,2,0,0,0,1,2,0,0,1,1,3,1,1,2,4,0,0,2,0,0,2,1,1,0,2,0,0,2,,,,,,,,
London Royal Ravens,Florida Mutineers,3,2, Hotel,13:31, Control,PaulEhx,19,18,1.06,,Nastie,18,22,0.82,,Asim,19,21,0.90,,Skrapz,13,16,0.81,,Vikul,22,20,1.10,,Havok,16,17,0.94,,MajorManiak,16,14,1.13,,Davpadie,23,18,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,5,8,6,4,4,5
London Royal Ravens,Florida Mutineers,170,250, Hotel,9:01, Hardpoint,PaulEhx,18,19,0.95,81,Nastie,23,14,1.64,75,Asim,19,19,1.00,25,Skrapz,14,11,1.27,167,Vikul,17,22,0.77,41,Havok,17,20,0.85,37,MajorManiak,16,14,1.13,88,Davpadie,13,18,0.72,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Royal Ravens,Florida Mutineers,6,2, Embassy,9:30, Search and Destroy,PaulEhx,2,7,0.28,,Nastie,1,7,0.14,,Asim,5,7,0.71,,Skrapz,7,6,1.17,,Vikul,5,4,1.25,,Havok,10,2,5.00,,MajorManiak,5,5,1.00,,Davpadie,7,4,1.75,,1,1,0,0,1,2,0,0,1,0,0,0,1,0,2,0,0,1,2,0,3,0,0,0,0,2,0,0,1,2,1,1,,,,,,,,
Las Vegas Legion,New York Subliners,250,226, Hotel,11:00, Hardpoint,KiSMET,22,27,0.81,86,Priestahh,26,20,1.30,74,Skyz,22,19,1.15,70,HyDra,27,23,1.17,52,Temp,14,24,0.57,47,Clayster,23,27,0.85,77,TJHaLy,27,20,1.35,90,Prolute,25,26,0.96,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Legion,New York Subliners,6,2, El Asilo,8:32, Search and Destroy,KiSMET,7,5,1.40,,Priestahh,4,5,0.80,,Skyz,5,2,2.50,,HyDra,11,4,2.75,,Temp,4,7,0.56,,Clayster,5,7,0.71,,TJHaLy,5,6,0.83,,Prolute,2,7,0.28,,2,1,1,0,2,0,0,0,1,0,2,0,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,3,1,0,,,,,,,,
Las Vegas Legion,New York Subliners,3,0, Hotel,9:38, Control,KiSMET,20,18,1.11,,Priestahh,18,15,1.20,,Skyz,19,15,1.27,,HyDra,18,16,1.12,,Temp,19,15,1.27,,Clayster,12,22,0.55,,TJHaLy,17,21,0.81,,Prolute,16,17,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,9,2,1,2,0,1
Los Angeles Guerrillas,Atlanta FaZe,233,250, Embassy,12:22, Hardpoint,Assault,32,23,1.39,36,Exceed,28,27,1.04,102,JoeDeceives,27,34,0.79,57,Arcitys,24,28,0.86,72,Cellium,35,23,1.52,47,Simp,25,33,0.76,47,aBeZy,26,21,1.24,77,SlasheR,26,24,1.08,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,Atlanta FaZe,2,6, Hotel,8:16, Search and Destroy,Assault,5,7,0.71,,Exceed,6,4,1.50,,JoeDeceives,7,4,1.75,,Arcitys,6,2,3.00,,Cellium,4,6,0.67,,Simp,6,6,1.00,,aBeZy,4,6,0.67,,SlasheR,3,6,0.50,,2,0,0,0,2,2,0,1,1,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,2,0,0,,,,,,,,
