index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
0,Cellium,15,12,1.25,46,Atlanta FaZe,250,winner,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
1,Simp,28,18,1.56,109,Atlanta FaZe,250,winner,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
2,SlasheR,26,18,1.44,116,Atlanta FaZe,250,winner,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
3,aBeZy,23,19,1.21,27,Atlanta FaZe,250,winner,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
4,Vivid,17,26,0.65,34,Boston Breach,207,loser,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
5,Methodz,21,25,0.84,68,Boston Breach,207,loser,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
6,Owakening,17,18,0.94,57,Boston Breach,207,loser,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
7,Nero,12,23,0.52,61,Boston Breach,207,loser,AFBBW1M1, Embassy,Hardpoint,10:02,Atlanta FaZe,,,,,
0,Cellium,3,6,0.50,,Atlanta FaZe,3,loser,AFBBW1M1, Fortress,SearchandDestroy,7:31,Atlanta FaZe,0,1,0,0,
1,Simp,7,9,0.78,,Atlanta FaZe,3,loser,AFBBW1M1, Fortress,SearchandDestroy,7:31,Atlanta FaZe,3,2,0,0,
2,SlasheR,4,6,0.67,,Atlanta FaZe,3,loser,AFBBW1M1, Fortress,SearchandDestroy,7:31,Atlanta FaZe,1,0,0,0,
3,aBeZy,4,7,0.56,,Atlanta FaZe,3,loser,AFBBW1M1, Fortress,SearchandDestroy,7:31,Atlanta FaZe,0,2,1,0,
4,Vivid,6,4,1.50,,Boston Breach,6,winner,AFBBW1M1, Fortress,SearchandDestroy,7:31,Atlanta FaZe,1,1,0,0,
5,Methodz,3,5,0.60,,Boston Breach,6,winner,AFBBW1M1, Fortress,SearchandDestroy,7:31,Atlanta FaZe,1,1,0,0,
