index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
0,Octane,20,18,1.11,47,Los Angeles Thieves,250,winner,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
1,Drazah,22,12,1.83,80,Los Angeles Thieves,250,winner,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
2,Kenny,16,14,1.13,51,Los Angeles Thieves,250,winner,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
3,Envoy,22,15,1.47,95,Los Angeles Thieves,250,winner,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
4,TJHaLy,14,19,0.74,58,Las Vegas Legion,130,loser,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
5,Temp,14,20,0.70,35,Las Vegas Legion,130,loser,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
6,2ReaL,12,23,0.52,27,Las Vegas Legion,130,loser,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
7,Clayster,19,18,1.06,22,Las Vegas Legion,130,loser,LATLVLW1M3, Mercado,Hardpoint,8:29,Los Angeles Thieves,,,,,
0,Octane,8,8,1.00,,Los Angeles Thieves,4,loser,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,1,0,2,1,
1,Drazah,5,9,0.56,,Los Angeles Thieves,4,loser,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,1,0,0,0,
2,Kenny,9,9,1.00,,Los Angeles Thieves,4,loser,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,2,1,0,0,
3,Envoy,6,9,0.67,,Los Angeles Thieves,4,loser,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,3,2,0,0,
4,TJHaLy,12,7,1.71,,Las Vegas Legion,6,winner,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,1,3,0,0,
5,Temp,9,6,1.50,,Las Vegas Legion,6,winner,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,1,2,1,0,
6,2ReaL,7,8,0.88,,Las Vegas Legion,6,winner,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,0,1,2,0,
7,Clayster,7,7,1.00,,Las Vegas Legion,6,winner,LATLVLW1M3, Fortress,SearchandDestroy,9:36,Los Angeles Thieves,1,1,0,0,
0,Octane,28,23,1.22,,Los Angeles Thieves,2,loser,LATLVLW1M3, Hotel,Control,15:40,Los Angeles Thieves,,,,,6
1,Drazah,22,26,0.85,,Los Angeles Thieves,2,loser,LATLVLW1M3, Hotel,Control,15:40,Los Angeles Thieves,,,,,3
2,Kenny,26,31,0.84,,Los Angeles Thieves,2,loser,LATLVLW1M3, Hotel,Control,15:40,Los Angeles Thieves,,,,,3
3,Envoy,30,33,0.91,,Los Angeles Thieves,2,loser,LATLVLW1M3, Hotel,Control,15:40,Los Angeles Thieves,,,,,6
4,TJHaLy,19,30,0.63,,Las Vegas Legion,3,winner,LATLVLW1M3, Hotel,Control,15:40,Los Angeles Thieves,,,,,8
5,Temp,33,25,1.32,,Las Vegas Legion,3,winner,LATLVLW1M3, Hotel,Control,15:40,Los Angeles Thieves,,,,,7
