index,player,kills,deaths,kd,hill_time,team_name,team_score,map_outcome,matchID,map_winner,mode,gametime,match_winner,first_kill,first_death,plant,defuse,captures
0,PaulEhx,17,23,0.74,69,London Royal Ravens,250,winner,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
1,Nastie,27,22,1.23,24,London Royal Ravens,250,winner,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
2,Asim,20,21,0.95,53,London Royal Ravens,250,winner,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
3,Skrapz,16,16,1.00,127,London Royal Ravens,250,winner,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
4,Vikul,17,23,0.74,92,Florida Mutineers,248,loser,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
5,Havok,26,14,1.86,109,Florida Mutineers,248,loser,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
6,MajorManiak,22,17,1.29,9,Florida Mutineers,248,loser,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
7,Davpadie,17,26,0.65,44,Florida Mutineers,248,loser,LRRFMW3M2, Hydro,Hardpoint,11:32,London Royal Ravens,,,,,
0,PaulEhx,5,8,0.63,,London Royal Ravens,4,loser,LRRFMW3M2, Fortress,SearchandDestroy,11:27,London Royal Ravens,1,2,1,0,
1,Nastie,8,5,1.60,,London Royal Ravens,4,loser,LRRFMW3M2, Fortress,SearchandDestroy,11:27,London Royal Ravens,2,0,0,0,
2,Asim,7,7,1.00,,London Royal Ravens,4,loser,LRRFMW3M2, Fortress,SearchandDestroy,11:27,London Royal Ravens,1,2,0,0,
3,Skrapz,5,8,0.63,,London Royal Ravens,4,loser,LRRFMW3M2, Fortress,SearchandDestroy,11:27,London Royal Ravens,1,1,3,1,
4,Vikul,4,7,0.56,,Florida Mutineers,6,winner,LRRFMW3M2, Fortress,SearchandDestroy,11:27,London Royal Ravens,1,2,4,0,
5,Havok,7,7,1.00,,Florida Mutineers,6,winner,LRRFMW3M2, Fortress,SearchandDestroy,11:27,London Royal Ravens,0,2,0,0,
