team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
Toronto Ultra,London Royal Ravens,166,250, Mercado,10:36, Hardpoint,Scrappy,28,24,1.17,64,Insight,28,20,1.40,45,CleanX,22,29,0.76,67,Standy,25,18,1.39,111,Zer0,22,24,0.92,47,Nastie,20,26,0.77,19,Asim,30,29,1.03,1,Skrapz,19,24,0.79,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,London Royal Ravens,4,6, Embassy,10:19, Search and Destroy,Scrappy,10,7,1.43,,Insight,6,8,0.75,,CleanX,3,8,0.38,,Standy,7,7,1.00,,Zer0,6,7,0.86,,Nastie,4,6,0.67,,Asim,17,6,2.83,,Skrapz,3,7,0.43,,0,0,0,1,1,0,1,0,1,3,4,0,2,3,0,0,2,1,2,0,1,0,0,0,2,2,1,1,1,1,1,0,,,,,,,,
Toronto Ultra,London Royal Ravens,2,3, Hotel,16:02, Control,Scrappy,34,21,1.62,,Insight,22,24,0.92,,CleanX,26,26,1.00,,Standy,35,24,1.46,,Zer0,20,29,0.69,,Nastie,29,37,0.78,,Asim,22,32,0.69,,Skrapz,24,19,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,2,2,6,6,6
Boston Breach,Minnesota RØKKR,144,250, Fortress,9:48, Hardpoint,Vivid,26,20,1.30,99,Methodz,21,18,1.17,93,Owakening,29,17,1.71,32,Nero,21,24,0.88,36,Attach,20,21,0.95,52,Afro,13,25,0.52,78,Bance,26,21,1.24,23,Cammy,20,30,0.67,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Breach,Minnesota RØKKR,3,6, El Asilo,10:54, Search and Destroy,Vivid,9,5,1.80,,Methodz,7,7,1.00,,Owakening,8,4,2.00,,Nero,3,6,0.50,,Attach,9,6,1.50,,Afro,5,4,1.25,,Bance,3,7,0.43,,Cammy,5,8,0.63,,3,2,0,0,1,1,0,0,0,1,0,1,0,1,3,0,1,1,0,0,1,0,2,0,2,1,0,2,1,2,0,0,,,,,,,,
Boston Breach,Minnesota RØKKR,0,3, Hotel,8:52, Control,Vivid,21,18,1.17,,Methodz,18,12,1.50,,Owakening,17,10,1.70,,Nero,16,14,1.13,,Attach,14,15,0.93,,Afro,18,18,1.00,,Bance,13,19,0.68,,Cammy,9,20,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,7,1,2,0,2
Las Vegas Legion,Seattle Surge,250,241, Embassy,11:05, Hardpoint,Clayster,25,24,1.04,89,TJHaly,15,29,0.52,50,Prolute,23,21,1.10,75,Temp,25,20,1.25,66,Sib,25,23,1.09,79,Accuracy,17,22,0.77,87,Mack,21,24,0.88,88,Pred,31,19,1.63,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Legion,Seattle Surge,2,6, El Asilo,8:24, Search and Destroy,Clayster,7,4,1.75,,TJHaly,6,5,1.20,,Prolute,8,4,2.00,,Temp,8,4,2.00,,Sib,3,8,0.38,,Accuracy,6,7,0.86,,Mack,5,7,0.71,,Pred,3,7,0.43,,1,0,0,0,2,0,0,0,2,1,2,1,1,1,2,0,0,0,0,0,1,1,0,0,1,2,1,1,0,3,0,1,,,,,,,,
Las Vegas Legion,Seattle Surge,3,0, Fortress,7:23, Control,Clayster,21,21,1.00,,TJHaly,17,20,0.85,,Prolute,14,18,0.78,,Temp,14,18,0.78,,Sib,16,18,0.89,,Accuracy,22,17,1.29,,Mack,14,18,0.78,,Pred,25,13,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,2,5,3
Las Vegas Legion,Seattle Surge,216,250, Mercado,10:09, Hardpoint,Clayster,28,22,1.27,69,TJHaly,19,27,0.70,34,Prolute,22,20,1.10,115,Temp,20,20,1.00,74,Sib,29,22,1.32,46,Accuracy,23,19,1.21,75,Mack,18,21,0.86,73,Pred,19,27,0.70,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Legion,Seattle Surge,3,6, Fortress,8:22, Search and Destroy,Clayster,8,5,1.60,,TJHaly,5,8,0.63,,Prolute,5,4,1.25,,Temp,8,6,1.33,,Sib,4,6,0.67,,Accuracy,5,7,0.71,,Mack,4,6,0.67,,Pred,10,7,1.43,,0,1,0,0,2,4,0,0,0,1,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,4,1,0,0,,,,,,,,
Los Angeles Guerrillas,Florida Mutineers,166,250, Embassy,9:44, Hardpoint,Assault,17,17,1.00,77,Exceed,19,20,0.95,134,JoeDeceives,26,21,1.24,46,Arcitys,18,20,0.90,32,Vikul,22,27,0.81,48,Havok,20,20,1.00,5,MajorManiak,15,17,0.88,49,Brack,21,16,1.31,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,Florida Mutineers,6,5, El Asilo,12:18, Search and Destroy,Assault,8,8,1.00,,Exceed,5,8,0.63,,JoeDeceives,11,7,1.57,,Arcitys,4,11,0.36,,Vikul,6,8,0.75,,Havok,9,7,1.29,,MajorManiak,6,9,0.67,,Brack,13,4,3.25,,1,0,0,0,1,3,0,0,3,1,5,0,0,2,0,0,1,3,3,0,2,1,0,1,1,1,0,0,2,0,0,0,,,,,,,,
Los Angeles Guerrillas,Florida Mutineers,3,2, El Asilo,15:58, Control,Assault,29,24,1.21,,Exceed,21,30,0.70,,JoeDeceives,26,33,0.79,,Arcitys,22,29,0.76,,Vikul,23,26,0.88,,Havok,40,26,1.54,,MajorManiak,22,25,0.88,,Brack,31,21,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,6,1,7,6,3,5
Los Angeles Guerrillas,Florida Mutineers,240,250, Mercado,11:33, Hardpoint,Assault,17,19,0.89,58,Exceed,26,24,1.08,34,JoeDeceives,26,21,1.24,122,Arcitys,18,18,1.00,73,Vikul,21,22,0.95,75,Havok,26,21,1.24,83,MajorManiak,14,23,0.61,8,Brack,21,21,1.00,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,Florida Mutineers,6,1, Fortress,6:41, Search and Destroy,Assault,4,6,0.67,,Exceed,3,5,0.60,,JoeDeceives,1,7,0.14,,Arcitys,4,6,0.67,,Vikul,4,4,1.00,,Havok,5,2,2.50,,MajorManiak,8,5,1.60,,Brack,6,1,6.00,,2,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,3,0,1,2,0,0,1,1,0,0,0,0,0,1,,,,,,,,
Minnesota RØKKR,London Royal Ravens,250,244, Fortress,11:42, Hardpoint,Attach,20,21,0.95,82,Afro,23,21,1.10,121,Bance,23,29,0.79,26,Cammy,30,29,1.03,26,Zer0,19,23,0.83,77,Nastie,29,26,1.12,116,Asim,36,23,1.57,24,Skrapz,16,24,0.67,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota RØKKR,London Royal Ravens,6,4, Mercado,11:22, Search and Destroy,Attach,9,8,1.12,,Afro,7,7,1.00,,Bance,10,5,2.00,,Cammy,3,8,0.38,,Zer0,6,6,1.00,,Nastie,9,8,1.12,,Asim,8,8,1.00,,Skrapz,5,7,0.71,,1,0,0,0,2,2,1,0,3,1,2,0,0,1,0,0,1,0,0,0,2,2,0,0,0,2,2,0,1,2,1,0,,,,,,,,
Minnesota RØKKR,London Royal Ravens,2,3, Fortress,12:12, Control,Attach,22,17,1.29,,Afro,34,17,2.00,,Bance,21,20,1.05,,Cammy,22,25,0.88,,Zer0,16,22,0.73,,Nastie,15,28,0.54,,Asim,26,27,0.96,,Skrapz,22,22,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,0,5,1,1,1
Minnesota RØKKR,London Royal Ravens,131,250, Hotel,8:36, Hardpoint,Attach,18,14,1.29,114,Afro,23,14,1.64,45,Bance,13,14,0.93,69,Cammy,21,13,1.62,90,Zer0,18,20,0.90,62,Nastie,15,18,0.83,34,Asim,14,20,0.70,29,Skrapz,8,17,0.47,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota RØKKR,London Royal Ravens,4,6, Fortress,9:54, Search and Destroy,Attach,5,6,0.83,,Afro,12,4,3.00,,Bance,8,6,1.33,,Cammy,6,6,1.00,,Zer0,5,7,0.71,,Nastie,8,7,1.13,,Asim,4,8,0.50,,Skrapz,5,9,0.56,,1,1,0,1,1,1,0,1,3,1,1,0,1,1,1,0,0,0,2,0,1,1,1,1,3,4,0,0,0,1,0,0,,,,,,,,
Atlanta FaZe,Seattle Surge,187,250, Embassy,9:46, Hardpoint,Cellium,19,19,1.00,52,Simp,22,24,0.92,74,aBeZy,23,16,1.44,84,SlasheR,19,14,1.36,84,Sib,18,19,0.95,104,Accuracy,12,23,0.52,48,Mack,21,23,0.91,37,Pred,22,18,1.22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta FaZe,Seattle Surge,2,6, Mercado,5:45, Search and Destroy,Cellium,4,2,2.00,,Simp,7,4,1.75,,aBeZy,11,4,2.75,,SlasheR,7,3,2.33,,Sib,3,6,0.50,,Accuracy,3,8,0.38,,Mack,4,7,0.56,,Pred,3,8,0.38,,0,0,0,0,2,0,1,0,3,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,4,0,0,0,0,0,0,,,,,,,,
